Datum a čas,Stav [cm],Průtok [m3s-1],Teplota [°C]
26.08.2024 07:00,35,0.273,22.2
26.08.2024 06:50,35,0.273,22.2
26.08.2024 06:40,35,0.273,22.2
26.08.2024 06:30,35,0.273,22.2
26.08.2024 06:20,35,0.273,22.2
26.08.2024 06:10,35,0.273,22.2
26.08.2024 06:00,35,0.273,22.2
26.08.2024 05:00,35,0.273,22.3
26.08.2024 04:00,35,0.273,22.4
26.08.2024 03:00,35,0.273,22.5
26.08.2024 02:00,35,0.273,22.5
26.08.2024 01:00,35,0.273,22.5
26.08.2024 00:00,35,0.273,22.6
25.08.2024 23:00,35,0.273,22.5
25.08.2024 22:00,35,0.273,22.4
25.08.2024 21:00,35,0.273,22.1
25.08.2024 20:00,34,0.247,22.2
25.08.2024 19:00,34,0.247,22.4
25.08.2024 18:00,34,0.247,22.6
25.08.2024 17:00,34,0.247,22.8
25.08.2024 16:00,34,0.247,22.7
25.08.2024 15:00,34,0.247,22.8
25.08.2024 14:00,34,0.247,22.7
25.08.2024 13:00,34,0.247,22.7
25.08.2024 12:00,34,0.247,23.1
25.08.2024 11:00,35,0.273,23.3
25.08.2024 10:00,35,0.273,23.6
25.08.2024 09:00,35,0.273,23.5
25.08.2024 08:00,35,0.273,23.5
25.08.2024 07:00,36,0.301,23.6
