Datum a čas,Stav [cm],Průtok [m3s-1],Teplota [°C]
03.03.2024 06:00,42,0.542,7.5
03.03.2024 05:50,42,0.542,7.5
03.03.2024 05:40,42,0.542,7.5
03.03.2024 05:30,42,0.542,7.5
03.03.2024 05:20,42,0.542,7.5
03.03.2024 05:10,42,0.542,7.5
03.03.2024 05:00,42,0.542,7.5
03.03.2024 04:00,42,0.542,7.5
03.03.2024 03:00,42,0.542,7.5
03.03.2024 02:00,42,0.542,7.5
03.03.2024 01:00,42,0.542,7.5
03.03.2024 00:00,42,0.542,7.5
02.03.2024 23:00,42,0.542,7.5
02.03.2024 22:00,42,0.542,7.5
02.03.2024 21:00,42,0.542,7.5
02.03.2024 20:00,42,0.542,7.5
02.03.2024 19:00,42,0.542,7.5
02.03.2024 18:00,42,0.542,7.5
02.03.2024 17:00,42,0.542,7.4
02.03.2024 16:00,42,0.542,7.4
02.03.2024 15:00,42,0.542,7.3
02.03.2024 14:00,42,0.542,7.2
02.03.2024 13:00,43,0.593,7.2
02.03.2024 12:00,42,0.542,7.1
02.03.2024 11:00,43,0.593,7
02.03.2024 10:00,42,0.542,7
02.03.2024 09:00,42,0.542,7
02.03.2024 08:00,43,0.593,7
02.03.2024 07:00,42,0.542,7
02.03.2024 06:00,43,0.593,7
