Datum a čas,Stav [cm],Průtok [m3s-1],Teplota [°C]
12.03.2025 06:10,29,0.141,7.2
12.03.2025 06:00,29,0.141,7.2
12.03.2025 05:50,29,0.141,7.2
12.03.2025 05:40,29,0.141,7.2
12.03.2025 05:30,29,0.141,7.2
12.03.2025 05:20,29,0.141,7.1
12.03.2025 05:10,29,0.141,7.1
12.03.2025 05:00,29,0.141,7.1
12.03.2025 04:00,29,0.141,7.1
12.03.2025 03:00,29,0.141,7.1
12.03.2025 02:00,29,0.141,7.1
12.03.2025 01:00,29,0.141,7.1
12.03.2025 00:00,29,0.141,7.1
11.03.2025 23:00,29,0.141,7.1
11.03.2025 22:00,29,0.141,7.1
11.03.2025 21:00,29,0.141,7.1
11.03.2025 20:00,29,0.141,7.2
11.03.2025 19:00,29,0.141,7.4
11.03.2025 18:00,29,0.141,7.5
11.03.2025 17:00,29,0.141,7.6
11.03.2025 16:00,29,0.141,7.7
11.03.2025 15:00,29,0.141,7.7
11.03.2025 14:00,32,0.2,7.7
11.03.2025 13:00,29,0.141,7.9
11.03.2025 12:00,29,0.141,7.7
11.03.2025 11:00,29,0.141,7.4
11.03.2025 10:00,29,0.141,7.2
11.03.2025 09:00,29,0.141,7
11.03.2025 08:00,29,0.141,6.8
11.03.2025 07:00,29,0.141,6.7
11.03.2025 06:00,29,0.141,6.6
