Datum a čas,Stav [cm],Průtok [m3s-1],Teplota [°C]
10.06.2024 07:10,25,0.0822,20.7
10.06.2024 07:00,25,0.0822,20.7
10.06.2024 06:50,25,0.0822,20.7
10.06.2024 06:40,25,0.0822,20.7
10.06.2024 06:30,25,0.0822,20.7
10.06.2024 06:20,25,0.0822,20.7
10.06.2024 06:10,25,0.0822,20.7
10.06.2024 06:00,25,0.0822,20.7
10.06.2024 05:00,25,0.0822,20.7
10.06.2024 04:00,25,0.0822,20.7
10.06.2024 03:00,25,0.0822,20.6
10.06.2024 02:00,25,0.0822,20.5
10.06.2024 01:00,25,0.0822,20.2
10.06.2024 00:00,25,0.0822,19.9
09.06.2024 23:00,25,0.0822,19.4
09.06.2024 22:00,25,0.0822,19.1
09.06.2024 21:00,25,0.0822,19.1
09.06.2024 20:00,43,0.593,19.3
09.06.2024 19:00,43,0.593,19.7
09.06.2024 18:00,44,0.647,20.1
09.06.2024 17:00,44,0.647,20.7
09.06.2024 16:00,43,0.593,21.1
09.06.2024 15:00,25,0.0822,20.9
09.06.2024 14:00,25,0.0822,20.6
09.06.2024 13:00,25,0.0822,20.3
09.06.2024 12:00,25,0.0822,20
09.06.2024 11:00,25,0.0822,19.8
09.06.2024 10:00,25,0.0822,19.7
09.06.2024 09:00,25,0.0822,19.6
09.06.2024 08:00,25,0.0822,19.6
09.06.2024 07:00,25,0.0822,19.6
