Datum a čas,Stav [cm],Průtok [m3s-1],Teplota [°C]
02.04.2024 06:50,34,0.252,11.5
02.04.2024 06:40,34,0.252,11.5
02.04.2024 06:30,34,0.252,11.5
02.04.2024 06:20,34,0.252,11.5
02.04.2024 06:10,34,0.252,11.5
02.04.2024 06:00,34,0.252,11.5
02.04.2024 05:00,34,0.252,11.5
02.04.2024 04:00,35,0.28,11.6
02.04.2024 03:00,34,0.252,11.7
02.04.2024 02:00,34,0.252,11.7
02.04.2024 01:00,34,0.252,11.8
02.04.2024 00:00,34,0.252,11.9
01.04.2024 23:00,35,0.28,12
01.04.2024 22:00,35,0.28,12
01.04.2024 21:00,35,0.28,12.1
01.04.2024 20:00,35,0.28,12.1
01.04.2024 19:00,35,0.28,12.2
01.04.2024 18:00,35,0.28,12.4
01.04.2024 17:00,35,0.28,12.5
01.04.2024 16:00,35,0.28,12.6
01.04.2024 15:00,35,0.28,12.5
01.04.2024 14:00,35,0.28,12.4
01.04.2024 13:00,35,0.28,12.3
01.04.2024 12:00,35,0.28,12.2
01.04.2024 11:00,35,0.28,12.1
01.04.2024 10:00,35,0.28,12.1
01.04.2024 09:00,20,0.0348,12.2
01.04.2024 08:00,34,0.252,12.2
01.04.2024 07:00,35,0.28,12.2
