Datum a čas,Stav [cm],Průtok [m3s-1],Teplota [°C]
29.06.2024 07:00,27,0.109,23.7
29.06.2024 06:50,27,0.109,23.8
29.06.2024 06:40,27,0.109,23.8
29.06.2024 06:30,27,0.109,23.8
29.06.2024 06:20,27,0.109,23.8
29.06.2024 06:10,27,0.109,23.8
29.06.2024 06:00,27,0.109,23.8
29.06.2024 05:00,27,0.109,23.9
29.06.2024 04:00,27,0.109,24
29.06.2024 03:00,27,0.109,24
29.06.2024 02:00,27,0.109,24.1
29.06.2024 01:00,27,0.109,24.2
29.06.2024 00:00,27,0.109,24.2
28.06.2024 23:00,27,0.109,24.3
28.06.2024 22:00,27,0.109,24.4
28.06.2024 21:00,27,0.109,24.4
28.06.2024 20:00,27,0.109,24.5
28.06.2024 19:00,27,0.109,24.5
28.06.2024 18:00,27,0.109,24.7
28.06.2024 17:00,27,0.109,24.8
28.06.2024 16:00,27,0.109,24.8
28.06.2024 15:00,27,0.109,24.7
28.06.2024 14:00,25,0.0849,24.4
28.06.2024 13:00,25,0.0849,24.2
28.06.2024 12:00,25,0.0849,23.9
28.06.2024 11:00,25,0.0849,23.8
28.06.2024 10:00,25,0.0849,23.6
28.06.2024 09:00,25,0.0849,23.6
28.06.2024 08:00,25,0.0849,23.7
28.06.2024 07:00,25,0.0849,23.8
