Datum a čas,Stav [cm],Průtok [m3s-1],Teplota [°C]
05.12.2024 06:10,36,0.301,4.9
05.12.2024 06:00,36,0.301,4.9
05.12.2024 05:50,36,0.301,4.9
05.12.2024 05:40,36,0.301,4.9
05.12.2024 05:30,36,0.301,4.9
05.12.2024 05:20,37,0.331,4.9
05.12.2024 05:10,37,0.331,4.9
05.12.2024 05:00,37,0.331,4.9
05.12.2024 04:00,37,0.331,4.9
05.12.2024 03:00,37,0.331,4.9
05.12.2024 02:00,37,0.331,4.9
05.12.2024 01:00,37,0.331,4.9
05.12.2024 00:00,37,0.331,5
04.12.2024 23:00,37,0.331,5
04.12.2024 22:00,37,0.331,5
04.12.2024 21:00,37,0.331,5
04.12.2024 20:00,38,0.362,5
04.12.2024 19:00,38,0.362,5
04.12.2024 18:00,38,0.362,5
04.12.2024 17:00,38,0.362,5
04.12.2024 16:00,38,0.362,5
04.12.2024 15:00,39,0.396,5
04.12.2024 14:00,39,0.396,5
04.12.2024 13:00,39,0.396,5
04.12.2024 12:00,39,0.396,5
04.12.2024 11:00,39,0.396,4.9
04.12.2024 10:00,39,0.396,4.9
04.12.2024 09:00,40,0.435,4.9
04.12.2024 08:00,40,0.435,5
04.12.2024 07:00,40,0.435,5
04.12.2024 06:00,40,0.435,5
