Datum a čas,Stav [cm],Průtok [m3s-1],Teplota [°C]
27.09.2024 07:10,46,0.751,16.2
27.09.2024 07:00,46,0.751,16.2
27.09.2024 06:50,46,0.751,16.2
27.09.2024 06:40,46,0.751,16.2
27.09.2024 06:30,46,0.751,16.2
27.09.2024 06:20,45,0.691,16.2
27.09.2024 06:10,45,0.691,16.3
27.09.2024 06:00,45,0.691,16.3
27.09.2024 05:00,46,0.751,16.3
27.09.2024 04:00,47,0.811,16.4
27.09.2024 03:00,46,0.751,16.3
27.09.2024 02:00,47,0.811,16.3
27.09.2024 01:00,46,0.751,16.4
27.09.2024 00:00,46,0.751,16.4
26.09.2024 23:00,46,0.751,16.3
26.09.2024 22:00,47,0.811,16.3
26.09.2024 21:00,47,0.811,16.3
26.09.2024 20:00,47,0.811,16.3
26.09.2024 19:00,47,0.811,16.4
26.09.2024 18:00,48,0.873,16.4
26.09.2024 17:00,48,0.873,16.5
26.09.2024 16:00,48,0.873,16.6
26.09.2024 15:00,49,0.936,16.5
26.09.2024 14:00,48,0.873,16.5
26.09.2024 13:00,49,0.936,16.5
26.09.2024 12:00,49,0.936,16.4
26.09.2024 11:00,49,0.936,16.3
26.09.2024 10:00,49,0.936,16.3
26.09.2024 09:00,49,0.936,16.3
26.09.2024 08:00,50,1,16.3
26.09.2024 07:00,42,0.525,16.4
