Datum a čas,Stav [cm],Průtok [m3s-1],Teplota [°C]
27.08.2024 07:10,36,0.301,22.2
27.08.2024 07:00,36,0.301,22.3
27.08.2024 06:50,36,0.301,22.3
27.08.2024 06:40,36,0.301,22.3
27.08.2024 06:30,36,0.301,22.3
27.08.2024 06:20,36,0.301,22.3
27.08.2024 06:10,36,0.301,22.3
27.08.2024 06:00,36,0.301,22.4
27.08.2024 05:00,36,0.301,22.5
27.08.2024 04:00,36,0.301,22.5
27.08.2024 03:00,36,0.301,22.6
27.08.2024 02:00,35,0.273,22.7
27.08.2024 01:00,35,0.273,22.9
27.08.2024 00:00,35,0.273,23
26.08.2024 23:00,35,0.273,23.1
26.08.2024 22:00,35,0.273,23.2
26.08.2024 21:00,35,0.273,23.4
26.08.2024 20:00,35,0.273,23.6
26.08.2024 19:00,35,0.273,23.9
26.08.2024 18:00,35,0.273,24.1
26.08.2024 17:00,35,0.273,24.2
26.08.2024 16:00,35,0.273,23.9
26.08.2024 15:00,35,0.273,24
26.08.2024 14:00,35,0.273,23.5
26.08.2024 13:00,35,0.273,23.2
26.08.2024 12:00,35,0.273,23
26.08.2024 11:00,35,0.273,22.8
26.08.2024 10:00,35,0.273,22.5
26.08.2024 09:00,35,0.273,22.3
26.08.2024 08:00,35,0.273,22.2
26.08.2024 07:00,35,0.273,22.2
