Datum a čas,Stav [cm],Průtok [m3s-1],Teplota [°C]
07.09.2024 07:00,27,0.109,22.9
07.09.2024 06:50,27,0.109,23
07.09.2024 06:40,28,0.124,23
07.09.2024 06:30,27,0.109,23
07.09.2024 06:20,28,0.124,23.1
07.09.2024 06:10,27,0.109,23.1
07.09.2024 06:00,27,0.109,23.1
07.09.2024 05:00,28,0.124,23.2
07.09.2024 04:00,28,0.124,23.4
07.09.2024 03:00,28,0.124,23.6
07.09.2024 02:00,27,0.109,23.7
07.09.2024 01:00,27,0.109,23.8
07.09.2024 00:00,27,0.109,24
06.09.2024 23:00,27,0.109,24.2
06.09.2024 22:00,27,0.109,24.4
06.09.2024 21:00,27,0.109,24.5
06.09.2024 20:00,27,0.109,24.6
06.09.2024 19:00,28,0.124,24.8
06.09.2024 18:00,28,0.124,25
06.09.2024 17:00,28,0.124,25.1
06.09.2024 16:00,28,0.124,25.3
06.09.2024 15:00,28,0.124,25.4
06.09.2024 14:00,28,0.124,25.3
06.09.2024 13:00,28,0.124,24.9
06.09.2024 12:00,28,0.124,24.5
06.09.2024 11:00,28,0.124,23.9
06.09.2024 10:00,27,0.109,23.5
06.09.2024 09:00,28,0.124,23.2
06.09.2024 08:00,28,0.124,23
06.09.2024 07:00,28,0.124,23.1
