Datum a čas,Stav [cm],Průtok [m3s-1],Teplota [°C]
23.07.2024 07:10,25,0.0849,24.1
23.07.2024 07:00,25,0.0849,24.1
23.07.2024 06:50,25,0.0849,24.1
23.07.2024 06:40,25,0.0849,24.1
23.07.2024 06:30,24,0.0744,24.1
23.07.2024 06:20,24,0.0744,24.2
23.07.2024 06:10,25,0.0849,24.2
23.07.2024 06:00,25,0.0849,24.2
23.07.2024 05:00,25,0.0849,24.3
23.07.2024 04:00,25,0.0849,24.3
23.07.2024 03:00,25,0.0849,24.4
23.07.2024 02:00,25,0.0849,24.5
23.07.2024 01:00,25,0.0849,24.6
23.07.2024 00:00,24,0.0744,24.7
22.07.2024 23:00,25,0.0849,24.8
22.07.2024 22:00,25,0.0849,24.9
22.07.2024 21:00,25,0.0849,25
22.07.2024 20:00,25,0.0849,25.1
22.07.2024 19:00,25,0.0849,25.2
22.07.2024 18:00,25,0.0849,25.2
22.07.2024 17:00,24,0.0744,25.2
22.07.2024 16:00,25,0.0849,25.2
22.07.2024 15:00,25,0.0849,25.1
22.07.2024 14:00,25,0.0849,25
22.07.2024 13:00,25,0.0849,24.8
22.07.2024 12:00,24,0.0744,24.6
22.07.2024 11:00,24,0.0744,24.5
22.07.2024 10:00,24,0.0744,24.4
22.07.2024 09:00,24,0.0744,24.4
22.07.2024 08:00,24,0.0744,24.5
22.07.2024 07:00,24,0.0744,24.5
