Datum a čas,Stav [cm],Průtok [m3s-1],Teplota [°C]
21.06.2024 07:10,25,0.0822,21.1
21.06.2024 07:00,25,0.0822,21.1
21.06.2024 06:50,25,0.0822,21.1
21.06.2024 06:40,25,0.0822,21.1
21.06.2024 06:30,25,0.0822,21.1
21.06.2024 06:20,25,0.0822,21.1
21.06.2024 06:10,25,0.0822,21.1
21.06.2024 06:00,25,0.0822,21.1
21.06.2024 05:00,25,0.0822,21.1
21.06.2024 04:00,25,0.0822,21
21.06.2024 03:00,25,0.0822,20.8
21.06.2024 02:00,25,0.0822,20.6
21.06.2024 01:00,25,0.0822,20.3
21.06.2024 00:00,25,0.0822,20.2
20.06.2024 23:00,26,0.0941,20.3
20.06.2024 22:00,32,0.201,20.4
20.06.2024 21:00,31,0.179,20.6
20.06.2024 20:00,31,0.179,20.7
20.06.2024 19:00,31,0.179,21
20.06.2024 18:00,32,0.201,21.3
20.06.2024 17:00,31,0.179,21.6
20.06.2024 16:00,32,0.201,21.7
20.06.2024 15:00,25,0.0822,21.5
20.06.2024 14:00,25,0.0822,21.4
20.06.2024 13:00,25,0.0822,21.2
20.06.2024 12:00,25,0.0822,21
20.06.2024 11:00,25,0.0822,20.9
20.06.2024 10:00,25,0.0822,20.8
20.06.2024 09:00,25,0.0822,20.7
20.06.2024 08:00,25,0.0822,20.7
20.06.2024 07:00,25,0.0822,20.6
