Datum a čas,Stav [cm],Průtok [m3s-1],Teplota [°C]
06.09.2024 07:10,28,0.124,23.1
06.09.2024 07:00,28,0.124,23.1
06.09.2024 06:50,28,0.124,23.1
06.09.2024 06:40,28,0.124,23.1
06.09.2024 06:30,28,0.124,23.1
06.09.2024 06:20,28,0.124,23.2
06.09.2024 06:10,28,0.124,23.2
06.09.2024 06:00,28,0.124,23.2
06.09.2024 05:00,28,0.124,23.3
06.09.2024 04:00,28,0.124,23.4
06.09.2024 03:00,28,0.124,23.6
06.09.2024 02:00,28,0.124,23.7
06.09.2024 01:00,28,0.124,23.8
06.09.2024 00:00,28,0.124,24
05.09.2024 23:00,28,0.124,24.1
05.09.2024 22:00,28,0.124,24.2
05.09.2024 21:00,28,0.124,24.3
05.09.2024 20:00,29,0.141,24.4
05.09.2024 19:00,29,0.141,24.5
05.09.2024 18:00,29,0.141,24.6
05.09.2024 17:00,29,0.141,24.8
05.09.2024 16:00,30,0.159,25.1
05.09.2024 15:00,30,0.159,25.3
05.09.2024 14:00,29,0.141,25.4
05.09.2024 13:00,29,0.141,25.1
05.09.2024 12:00,29,0.141,24.7
05.09.2024 11:00,28,0.124,24.3
05.09.2024 10:00,28,0.124,24
05.09.2024 09:00,29,0.141,23.9
05.09.2024 08:00,29,0.141,23.8
05.09.2024 07:00,29,0.141,23.9
