Datum a čas,Stav [cm],Průtok [m3s-1],Teplota [°C]
28.08.2024 07:00,33,0.223,22.6
28.08.2024 06:50,33,0.223,22.6
28.08.2024 06:40,33,0.223,22.6
28.08.2024 06:30,33,0.223,22.6
28.08.2024 06:20,33,0.223,22.6
28.08.2024 06:10,33,0.223,22.6
28.08.2024 06:00,33,0.223,22.7
28.08.2024 05:00,33,0.223,22.8
28.08.2024 04:00,33,0.223,23
28.08.2024 03:00,33,0.223,23.1
28.08.2024 02:00,33,0.223,23.3
28.08.2024 01:00,33,0.223,23.5
28.08.2024 00:00,33,0.223,23.6
27.08.2024 23:00,33,0.223,23.8
27.08.2024 22:00,33,0.223,23.9
27.08.2024 21:00,33,0.223,24
27.08.2024 20:00,33,0.223,24.2
27.08.2024 19:00,34,0.247,24.3
27.08.2024 18:00,36,0.301,24.4
27.08.2024 17:00,36,0.301,24.5
27.08.2024 16:00,36,0.301,24.6
27.08.2024 15:00,36,0.301,24.4
27.08.2024 14:00,36,0.301,24.1
27.08.2024 13:00,36,0.301,23.7
27.08.2024 12:00,36,0.301,23.2
27.08.2024 11:00,36,0.301,22.9
27.08.2024 10:00,36,0.301,22.6
27.08.2024 09:00,36,0.301,22.4
27.08.2024 08:00,36,0.301,22.3
27.08.2024 07:00,36,0.301,22.3
