Datum a čas,Stav [cm],Průtok [m3s-1],Teplota [°C]
18.08.2024 07:00,36,0.301,26
18.08.2024 06:50,36,0.301,26
18.08.2024 06:40,36,0.301,26
18.08.2024 06:30,36,0.301,26
18.08.2024 06:20,36,0.301,26
18.08.2024 06:10,36,0.301,26.1
18.08.2024 06:00,36,0.301,26.1
18.08.2024 05:00,36,0.301,26.2
18.08.2024 04:00,36,0.301,26.3
18.08.2024 03:00,36,0.301,26.4
18.08.2024 02:00,36,0.301,26.5
18.08.2024 01:00,36,0.301,26.6
18.08.2024 00:00,36,0.301,26.7
17.08.2024 23:00,35,0.273,26.8
17.08.2024 22:00,35,0.273,26.9
17.08.2024 21:00,34,0.247,27
17.08.2024 20:00,34,0.247,27.1
17.08.2024 19:00,34,0.247,27.1
17.08.2024 18:00,34,0.247,27.1
17.08.2024 17:00,34,0.247,27
17.08.2024 16:00,33,0.223,26.9
17.08.2024 15:00,33,0.223,26.6
17.08.2024 14:00,33,0.223,26.6
17.08.2024 13:00,33,0.223,26.6
17.08.2024 12:00,33,0.223,26.6
17.08.2024 11:00,32,0.2,26.4
17.08.2024 10:00,32,0.2,26.1
17.08.2024 09:00,32,0.2,25.9
17.08.2024 08:00,33,0.223,25.9
17.08.2024 07:00,33,0.223,25.9
