Datum a čas,Stav [cm],Průtok [m3s-1],Teplota [°C]
10.08.2024 06:50,35,0.273,23.4
10.08.2024 06:40,36,0.301,23.4
10.08.2024 06:30,36,0.301,23.4
10.08.2024 06:20,36,0.301,23.4
10.08.2024 06:10,36,0.301,23.4
10.08.2024 06:00,36,0.301,23.4
10.08.2024 05:00,36,0.301,23.4
10.08.2024 04:00,36,0.301,23.4
10.08.2024 03:00,36,0.301,23.4
10.08.2024 02:00,36,0.301,23.5
10.08.2024 01:00,37,0.331,23.5
10.08.2024 00:00,37,0.331,23.5
09.08.2024 23:00,37,0.331,23.5
09.08.2024 22:00,37,0.331,23.4
09.08.2024 21:00,37,0.331,23.4
09.08.2024 20:00,38,0.362,23.5
09.08.2024 19:00,38,0.362,23.6
09.08.2024 18:00,38,0.362,23.7
09.08.2024 17:00,38,0.362,23.8
09.08.2024 16:00,39,0.396,23.9
09.08.2024 15:00,39,0.396,23.9
09.08.2024 14:00,39,0.396,24
09.08.2024 13:00,39,0.396,24.1
09.08.2024 12:00,39,0.396,24.1
09.08.2024 11:00,40,0.435,24.1
09.08.2024 10:00,40,0.435,23.9
09.08.2024 09:00,40,0.435,23.7
09.08.2024 08:00,40,0.435,23.6
09.08.2024 07:00,41,0.478,23.5
