Datum a čas,Stav [cm],Průtok [m3s-1],Teplota [°C]
19.10.2024 07:00,29,0.141,12.7
19.10.2024 06:50,29,0.141,12.7
19.10.2024 06:40,29,0.141,12.7
19.10.2024 06:30,29,0.141,12.7
19.10.2024 06:20,29,0.141,12.7
19.10.2024 06:10,29,0.141,12.7
19.10.2024 06:00,29,0.141,12.7
19.10.2024 05:00,29,0.141,12.8
19.10.2024 04:00,29,0.141,12.8
19.10.2024 03:00,29,0.141,12.9
19.10.2024 02:00,29,0.141,12.9
19.10.2024 01:00,29,0.141,12.9
19.10.2024 00:00,29,0.141,12.9
18.10.2024 23:00,29,0.141,13
18.10.2024 22:00,29,0.141,13
18.10.2024 21:00,29,0.141,13
18.10.2024 20:00,29,0.141,13.1
18.10.2024 19:00,29,0.141,13.1
18.10.2024 18:00,29,0.141,13.1
18.10.2024 17:00,29,0.141,13.1
18.10.2024 16:00,29,0.141,13.1
18.10.2024 15:00,29,0.141,13.1
18.10.2024 14:00,29,0.141,13
18.10.2024 13:00,31,0.178,13
18.10.2024 12:00,35,0.273,12.9
18.10.2024 11:00,35,0.273,12.9
18.10.2024 10:00,35,0.273,12.8
18.10.2024 09:00,35,0.273,12.8
18.10.2024 08:00,35,0.273,12.8
18.10.2024 07:00,35,0.273,12.9
