Datum a čas,Stav [cm],Průtok [m3s-1],Teplota [°C]
28.09.2024 07:00,45,0.691,16
28.09.2024 06:50,44,0.632,16
28.09.2024 06:40,44,0.632,16
28.09.2024 06:30,45,0.691,16
28.09.2024 06:20,45,0.691,16
28.09.2024 06:10,44,0.632,15.9
28.09.2024 06:00,44,0.632,16
28.09.2024 05:00,45,0.691,16.1
28.09.2024 04:00,45,0.691,16.2
28.09.2024 03:00,45,0.691,16.2
28.09.2024 02:00,45,0.691,16.2
28.09.2024 01:00,45,0.691,16.3
28.09.2024 00:00,44,0.632,16.4
27.09.2024 23:00,45,0.691,16.5
27.09.2024 22:00,45,0.691,16.7
27.09.2024 21:00,46,0.751,16.7
27.09.2024 20:00,46,0.751,16.7
27.09.2024 19:00,45,0.691,16.8
27.09.2024 18:00,45,0.691,16.8
27.09.2024 17:00,44,0.632,16.7
27.09.2024 16:00,46,0.751,16.7
27.09.2024 15:00,46,0.751,16.7
27.09.2024 14:00,45,0.691,16.6
27.09.2024 13:00,46,0.751,16.4
27.09.2024 12:00,45,0.691,16.3
27.09.2024 11:00,45,0.691,16.2
27.09.2024 10:00,46,0.751,16.2
27.09.2024 09:00,46,0.751,16.2
27.09.2024 08:00,45,0.691,16.2
27.09.2024 07:00,46,0.751,16.2
