Datum a čas,Stav [cm],Průtok [m3s-1],Teplota [°C]
26.04.2024 07:00,27,0.107,10.9
26.04.2024 06:50,27,0.107,10.9
26.04.2024 06:40,27,0.107,10.9
26.04.2024 06:30,27,0.107,10.9
26.04.2024 06:20,27,0.107,10.9
26.04.2024 06:10,27,0.107,10.9
26.04.2024 06:00,27,0.107,10.9
26.04.2024 05:00,27,0.107,11
26.04.2024 04:00,27,0.107,11
26.04.2024 03:00,27,0.107,11.1
26.04.2024 02:00,27,0.107,11.1
26.04.2024 01:00,27,0.107,11.2
26.04.2024 00:00,27,0.107,11.3
25.04.2024 23:00,27,0.107,11.4
25.04.2024 22:00,27,0.107,11.4
25.04.2024 21:00,27,0.107,11.5
25.04.2024 20:00,27,0.107,11.6
25.04.2024 19:00,27,0.107,11.6
25.04.2024 18:00,27,0.107,11.6
25.04.2024 17:00,27,0.107,11.6
25.04.2024 16:00,27,0.107,11.5
25.04.2024 15:00,27,0.107,11.4
25.04.2024 14:00,27,0.107,11.2
25.04.2024 13:00,27,0.107,11.1
25.04.2024 12:00,27,0.107,11
25.04.2024 11:00,27,0.107,10.9
25.04.2024 10:00,27,0.107,10.8
25.04.2024 09:00,27,0.107,10.8
25.04.2024 08:00,27,0.107,10.8
25.04.2024 07:00,27,0.107,10.9
