Datum a čas,Stav [cm],Průtok [m3s-1],Teplota [°C]
21.05.2024 07:00,26,0.0941,17.2
21.05.2024 06:50,26,0.0941,17.2
21.05.2024 06:40,26,0.0941,17.2
21.05.2024 06:30,27,0.107,17.2
21.05.2024 06:20,27,0.107,17.2
21.05.2024 06:10,26,0.0941,17.1
21.05.2024 06:00,27,0.107,17.1
21.05.2024 05:00,27,0.107,17.1
21.05.2024 04:00,27,0.107,16.9
21.05.2024 03:00,27,0.107,16.8
21.05.2024 02:00,27,0.107,16.5
21.05.2024 01:00,27,0.107,16.2
21.05.2024 00:00,26,0.0941,15.8
20.05.2024 23:00,27,0.107,15.4
20.05.2024 22:00,40,0.452,15.3
20.05.2024 21:00,32,0.201,15.6
20.05.2024 20:00,42,0.542,15.9
20.05.2024 19:00,41,0.495,16.2
20.05.2024 18:00,41,0.495,16.8
20.05.2024 17:00,42,0.542,17.3
20.05.2024 16:00,42,0.542,17.6
20.05.2024 15:00,27,0.107,17.4
20.05.2024 14:00,27,0.107,17.1
20.05.2024 13:00,27,0.107,16.8
20.05.2024 12:00,27,0.107,16.5
20.05.2024 11:00,27,0.107,16.2
20.05.2024 10:00,27,0.107,16
20.05.2024 09:00,27,0.107,15.9
20.05.2024 08:00,27,0.107,15.8
20.05.2024 07:00,27,0.107,15.7
