Datum a čas,Stav [cm],Průtok [m3s-1],Teplota [°C]
25.02.2025 06:00,34,0.247,4.7
25.02.2025 05:50,34,0.247,4.7
25.02.2025 05:40,34,0.247,4.7
25.02.2025 05:30,34,0.247,4.7
25.02.2025 05:20,34,0.247,4.7
25.02.2025 05:10,34,0.247,4.7
25.02.2025 05:00,34,0.247,4.7
25.02.2025 04:00,34,0.247,4.7
25.02.2025 03:00,34,0.247,4.8
25.02.2025 02:00,34,0.247,4.8
25.02.2025 01:00,34,0.247,4.8
25.02.2025 00:00,34,0.247,4.8
24.02.2025 23:00,34,0.247,4.8
24.02.2025 22:00,34,0.247,4.8
24.02.2025 21:00,34,0.247,4.8
24.02.2025 20:00,34,0.247,4.8
24.02.2025 19:00,34,0.247,4.8
24.02.2025 18:00,34,0.247,4.8
24.02.2025 17:00,34,0.247,4.8
24.02.2025 16:00,34,0.247,4.8
24.02.2025 15:00,34,0.247,4.8
24.02.2025 14:00,34,0.247,4.7
24.02.2025 13:00,34,0.247,4.6
24.02.2025 12:00,34,0.247,4.5
24.02.2025 11:00,34,0.247,4.4
24.02.2025 10:00,34,0.247,4.3
24.02.2025 09:00,34,0.247,4.3
24.02.2025 08:00,34,0.247,4.3
24.02.2025 07:00,34,0.247,4.3
24.02.2025 06:00,34,0.247,4.3
