Datum a čas,Stav [cm],Průtok [m3s-1],Teplota [°C]
12.08.2024 07:00,32,0.2,23.9
12.08.2024 06:50,32,0.2,23.9
12.08.2024 06:40,32,0.2,23.9
12.08.2024 06:30,33,0.223,23.9
12.08.2024 06:20,33,0.223,23.9
12.08.2024 06:10,33,0.223,23.9
12.08.2024 06:00,33,0.223,23.9
12.08.2024 05:00,33,0.223,24
12.08.2024 04:00,32,0.2,24.1
12.08.2024 03:00,32,0.2,24.2
12.08.2024 02:00,32,0.2,24.4
12.08.2024 01:00,33,0.223,24.5
12.08.2024 00:00,32,0.2,24.6
11.08.2024 23:00,33,0.223,24.8
11.08.2024 22:00,33,0.223,24.9
11.08.2024 21:00,33,0.223,25
11.08.2024 20:00,33,0.223,25.2
11.08.2024 19:00,33,0.223,25.2
11.08.2024 18:00,33,0.223,25.1
11.08.2024 17:00,33,0.223,25.1
11.08.2024 16:00,33,0.223,25.1
11.08.2024 15:00,32,0.2,25.3
11.08.2024 14:00,32,0.2,25.4
11.08.2024 13:00,32,0.2,25
11.08.2024 12:00,32,0.2,24.7
11.08.2024 11:00,32,0.2,24.4
11.08.2024 10:00,32,0.2,24
11.08.2024 09:00,32,0.2,23.6
11.08.2024 08:00,32,0.2,23.4
11.08.2024 07:00,32,0.2,23.3
