Datum a čas,Stav [cm],Průtok [m3s-1],Teplota [°C]
04.11.2024 06:10,59,1.62,11.8
04.11.2024 06:00,59,1.62,11.8
04.11.2024 05:50,59,1.62,11.8
04.11.2024 05:40,59,1.62,11.8
04.11.2024 05:30,59,1.62,11.8
04.11.2024 05:20,59,1.62,11.8
04.11.2024 05:10,60,1.69,11.8
04.11.2024 05:00,59,1.62,11.8
04.11.2024 04:00,60,1.69,11.9
04.11.2024 03:00,61,1.77,11.9
04.11.2024 02:00,60,1.69,11.9
04.11.2024 01:00,61,1.77,11.9
04.11.2024 00:00,60,1.69,12
03.11.2024 23:00,60,1.69,12
03.11.2024 22:00,61,1.77,12
03.11.2024 21:00,61,1.77,12
03.11.2024 20:00,61,1.77,12.1
03.11.2024 19:00,61,1.77,12.1
03.11.2024 18:00,61,1.77,12.1
03.11.2024 17:00,61,1.77,12.1
03.11.2024 16:00,62,1.84,12.2
03.11.2024 15:00,62,1.84,12.2
03.11.2024 14:00,62,1.84,12.2
03.11.2024 13:00,62,1.84,12.2
03.11.2024 12:00,62,1.84,12.1
03.11.2024 11:00,63,1.91,12.1
03.11.2024 10:00,78,2.97,12.1
03.11.2024 09:00,76,2.82,12.1
03.11.2024 08:00,77,2.9,12
03.11.2024 07:00,78,2.97,12
03.11.2024 06:00,78,2.97,12
