Datum a čas,Stav [cm],Průtok [m3s-1],Teplota [°C]
13.11.2024 06:00,38,0.362,8.4
13.11.2024 05:50,38,0.362,8.4
13.11.2024 05:40,38,0.362,8.4
13.11.2024 05:30,38,0.362,8.4
13.11.2024 05:20,38,0.362,8.4
13.11.2024 05:10,38,0.362,8.4
13.11.2024 05:00,38,0.362,8.4
13.11.2024 04:00,38,0.362,8.4
13.11.2024 03:00,38,0.362,8.4
13.11.2024 02:00,38,0.362,8.5
13.11.2024 01:00,38,0.362,8.5
13.11.2024 00:00,38,0.362,8.5
12.11.2024 23:00,38,0.362,8.5
12.11.2024 22:00,38,0.362,8.5
12.11.2024 21:00,38,0.362,8.5
12.11.2024 20:00,38,0.362,8.5
12.11.2024 19:00,38,0.362,8.5
12.11.2024 18:00,38,0.362,8.6
12.11.2024 17:00,38,0.362,8.6
12.11.2024 16:00,38,0.362,8.6
12.11.2024 15:00,38,0.362,8.6
12.11.2024 14:00,38,0.362,8.6
12.11.2024 13:00,38,0.362,8.6
12.11.2024 12:00,38,0.362,8.6
12.11.2024 11:00,38,0.362,8.6
12.11.2024 10:00,38,0.362,8.6
12.11.2024 09:00,38,0.362,8.6
12.11.2024 08:00,38,0.362,8.6
12.11.2024 07:00,38,0.362,8.7
12.11.2024 06:00,38,0.362,8.7
