Datum a čas,Stav [cm],Průtok [m3s-1],Teplota [°C]
13.03.2025 06:00,29,0.141,7.3
13.03.2025 05:50,29,0.141,7.3
13.03.2025 05:40,28,0.124,7.3
13.03.2025 05:30,28,0.124,7.4
13.03.2025 05:20,28,0.124,7.4
13.03.2025 05:10,28,0.124,7.4
13.03.2025 05:00,28,0.124,7.4
13.03.2025 04:00,28,0.124,7.5
13.03.2025 03:00,28,0.124,7.7
13.03.2025 02:00,28,0.124,7.8
13.03.2025 01:00,28,0.124,7.9
13.03.2025 00:00,28,0.124,8
12.03.2025 23:00,28,0.124,8.1
12.03.2025 22:00,28,0.124,8.2
12.03.2025 21:00,28,0.124,8.3
12.03.2025 20:00,28,0.124,8.4
12.03.2025 19:00,28,0.124,8.4
12.03.2025 18:00,28,0.124,8.4
12.03.2025 17:00,28,0.124,8.4
12.03.2025 16:00,28,0.124,8.4
12.03.2025 15:00,28,0.124,8.3
12.03.2025 14:00,28,0.124,8.2
12.03.2025 13:00,28,0.124,8
12.03.2025 12:00,28,0.124,7.8
12.03.2025 11:00,28,0.124,7.8
12.03.2025 10:00,28,0.124,7.5
12.03.2025 09:00,28,0.124,7.3
12.03.2025 08:00,32,0.2,7.2
12.03.2025 07:00,29,0.141,7.2
12.03.2025 06:00,29,0.141,7.2
