Datum a čas,Stav [cm],Průtok [m3s-1],Teplota [°C]
20.06.2024 07:10,25,0.0822,20.6
20.06.2024 07:00,25,0.0822,20.6
20.06.2024 06:50,25,0.0822,20.6
20.06.2024 06:40,25,0.0822,20.6
20.06.2024 06:30,25,0.0822,20.6
20.06.2024 06:20,25,0.0822,20.6
20.06.2024 06:10,25,0.0822,20.6
20.06.2024 06:00,25,0.0822,20.6
20.06.2024 05:00,25,0.0822,20.5
20.06.2024 04:00,25,0.0822,20.3
20.06.2024 03:00,25,0.0822,20.1
20.06.2024 02:00,25,0.0822,19.9
20.06.2024 01:00,25,0.0822,19.7
20.06.2024 00:00,25,0.0822,19.8
19.06.2024 23:00,33,0.226,20
19.06.2024 22:00,33,0.226,20.2
19.06.2024 21:00,33,0.226,20.4
19.06.2024 20:00,33,0.226,20.7
19.06.2024 19:00,33,0.226,21
19.06.2024 18:00,33,0.226,21.3
19.06.2024 17:00,33,0.226,21.8
19.06.2024 16:00,33,0.226,22.2
19.06.2024 15:00,25,0.0822,22.3
19.06.2024 14:00,25,0.0822,22.3
19.06.2024 13:00,25,0.0822,22.2
19.06.2024 12:00,25,0.0822,22.1
19.06.2024 11:00,25,0.0822,22
19.06.2024 10:00,25,0.0822,21.8
19.06.2024 09:00,25,0.0822,21.7
19.06.2024 08:00,25,0.0822,21.6
19.06.2024 07:00,25,0.0822,21.5
