Datum a čas,Stav [cm],Průtok [m3s-1],Teplota [°C]
19.03.2024 06:00,37,0.342,9.1
19.03.2024 05:50,37,0.342,9.1
19.03.2024 05:40,37,0.342,9.1
19.03.2024 05:30,37,0.342,9.1
19.03.2024 05:20,37,0.342,9.1
19.03.2024 05:10,37,0.342,9.1
19.03.2024 05:00,37,0.342,9.2
19.03.2024 04:00,37,0.342,9.2
19.03.2024 03:00,37,0.342,9.3
19.03.2024 02:00,37,0.342,9.4
19.03.2024 01:00,37,0.342,9.4
19.03.2024 00:00,37,0.342,9.5
18.03.2024 23:00,37,0.342,9.5
18.03.2024 22:00,37,0.342,9.6
18.03.2024 21:00,37,0.342,9.7
18.03.2024 20:00,37,0.342,9.8
18.03.2024 19:00,37,0.342,9.8
18.03.2024 18:00,38,0.375,9.7
18.03.2024 17:00,38,0.375,9.6
18.03.2024 16:00,38,0.375,9.5
18.03.2024 15:00,38,0.375,9.4
18.03.2024 14:00,38,0.375,9.3
18.03.2024 13:00,38,0.375,9.1
18.03.2024 12:00,38,0.375,9
18.03.2024 11:00,38,0.375,8.9
18.03.2024 10:00,38,0.375,8.8
18.03.2024 09:00,17,0.0161,8.8
18.03.2024 08:00,37,0.342,8.8
18.03.2024 07:00,37,0.342,8.8
18.03.2024 06:00,37,0.342,8.8
