Datum a čas,Stav [cm],Průtok [m3s-1],Teplota [°C]
18.04.2024 07:00,28,0.122,13.2
18.04.2024 06:50,28,0.122,13.3
18.04.2024 06:40,28,0.122,13.3
18.04.2024 06:30,28,0.122,13.3
18.04.2024 06:20,28,0.122,13.3
18.04.2024 06:10,28,0.122,13.3
18.04.2024 06:00,28,0.122,13.3
18.04.2024 05:00,28,0.122,13.4
18.04.2024 04:00,28,0.122,13.4
18.04.2024 03:00,28,0.122,13.5
18.04.2024 02:00,28,0.122,13.5
18.04.2024 01:00,28,0.122,13.6
18.04.2024 00:00,28,0.122,13.6
17.04.2024 23:00,28,0.122,13.7
17.04.2024 22:00,28,0.122,13.8
17.04.2024 21:00,28,0.122,13.8
17.04.2024 20:00,28,0.122,13.9
17.04.2024 19:00,28,0.122,14
17.04.2024 18:00,28,0.122,14
17.04.2024 17:00,28,0.122,14.1
17.04.2024 16:00,28,0.122,14.1
17.04.2024 15:00,28,0.122,14
17.04.2024 14:00,28,0.122,14
17.04.2024 13:00,27,0.107,13.9
17.04.2024 12:00,27,0.107,13.8
17.04.2024 11:00,23,0.0608,13.7
17.04.2024 10:00,25,0.0822,13.7
17.04.2024 09:00,25,0.0822,13.7
17.04.2024 08:00,25,0.0822,13.7
17.04.2024 07:00,25,0.0822,13.8
