Datum a čas,Stav [cm],Průtok [m3s-1],Teplota [°C]
12.02.2024 06:00,67,2.19,5.9
12.02.2024 05:50,66,2.12,5.9
12.02.2024 05:40,66,2.12,5.9
12.02.2024 05:30,65,2.05,5.9
12.02.2024 05:20,64,1.98,5.9
12.02.2024 05:10,66,2.12,5.9
12.02.2024 05:00,65,2.05,5.9
12.02.2024 04:00,66,2.12,5.9
12.02.2024 03:00,65,2.05,5.8
12.02.2024 02:00,63,1.91,5.8
12.02.2024 01:00,63,1.91,5.8
12.02.2024 00:00,62,1.84,5.9
11.02.2024 23:00,60,1.69,5.9
11.02.2024 22:00,60,1.69,6
11.02.2024 21:00,60,1.69,6
11.02.2024 20:00,61,1.77,6.1
11.02.2024 19:00,58,1.55,6.1
11.02.2024 18:00,58,1.55,6.2
11.02.2024 17:00,58,1.55,6.2
11.02.2024 16:00,58,1.55,6.2
11.02.2024 15:00,58,1.55,6.2
11.02.2024 14:00,57,1.48,6.2
11.02.2024 13:00,57,1.48,6.1
11.02.2024 12:00,56,1.41,6.1
11.02.2024 11:00,55,1.34,6.1
11.02.2024 10:00,56,1.41,6.1
11.02.2024 09:00,56,1.41,6.1
11.02.2024 08:00,55,1.34,6.1
11.02.2024 07:00,56,1.41,6.1
11.02.2024 06:00,55,1.34,6.1
