Datum a čas,Stav [cm],Průtok [m3s-1],Teplota [°C]
14.09.2024 07:00,133,8.31,18.4
14.09.2024 06:50,131,8.07,18.4
14.09.2024 06:40,132,8.19,18.4
14.09.2024 06:30,132,8.19,18.4
14.09.2024 06:20,132,8.19,18.4
14.09.2024 06:10,132,8.19,18.5
14.09.2024 06:00,132,8.19,18.5
14.09.2024 05:00,130,7.95,18.6
14.09.2024 04:00,123,7.14,18.7
14.09.2024 03:00,121,6.92,18.8
14.09.2024 02:00,111,5.87,18.9
14.09.2024 01:00,106,5.37,19
14.09.2024 00:00,93,4.18,19
13.09.2024 23:00,91,4.01,19.1
13.09.2024 22:00,92,4.09,19.2
13.09.2024 21:00,88,3.75,19.2
13.09.2024 20:00,84,3.43,19.3
13.09.2024 19:00,81,3.2,19.4
13.09.2024 18:00,83,3.35,19.5
13.09.2024 17:00,82,3.27,19.6
13.09.2024 16:00,76,2.82,19.6
13.09.2024 15:00,77,2.9,19.7
13.09.2024 14:00,77,2.9,19.8
13.09.2024 13:00,70,2.4,19.9
13.09.2024 12:00,67,2.19,20
13.09.2024 11:00,67,2.19,20
13.09.2024 10:00,66,2.12,20.1
13.09.2024 09:00,67,2.19,20.2
13.09.2024 08:00,67,2.19,20.2
13.09.2024 07:00,67,2.19,20.3
