Datum a čas,Stav [cm],Průtok [m3s-1],Teplota [°C]
03.08.2024 06:50,26,0.0964,22.8
03.08.2024 06:40,26,0.0964,22.8
03.08.2024 06:30,26,0.0964,22.8
03.08.2024 06:20,26,0.0964,22.8
03.08.2024 06:10,26,0.0964,22.8
03.08.2024 06:00,26,0.0964,22.8
03.08.2024 05:00,26,0.0964,22.9
03.08.2024 04:00,26,0.0964,23
03.08.2024 03:00,26,0.0964,23.1
03.08.2024 02:00,26,0.0964,23.2
03.08.2024 01:00,26,0.0964,23.3
03.08.2024 00:00,26,0.0964,23.4
02.08.2024 23:00,26,0.0964,23.5
02.08.2024 22:00,26,0.0964,23.6
02.08.2024 21:00,27,0.109,23.7
02.08.2024 20:00,27,0.109,23.9
02.08.2024 19:00,27,0.109,24.1
02.08.2024 18:00,28,0.124,24.3
02.08.2024 17:00,29,0.141,24.5
02.08.2024 16:00,29,0.141,24.6
02.08.2024 15:00,26,0.0964,24.5
02.08.2024 14:00,26,0.0964,24.4
02.08.2024 13:00,26,0.0964,24.3
02.08.2024 12:00,26,0.0964,24.3
02.08.2024 11:00,26,0.0964,24.3
02.08.2024 10:00,25,0.0849,24.3
02.08.2024 09:00,25,0.0849,24.3
02.08.2024 08:00,25,0.0849,24.3
02.08.2024 07:00,25,0.0849,24.4
