Datum a čas,Stav [cm],Průtok [m3s-1],Teplota [°C]
21.10.2024 07:10,28,0.124,12.7
21.10.2024 07:00,28,0.124,12.7
21.10.2024 06:50,28,0.124,12.7
21.10.2024 06:40,28,0.124,12.7
21.10.2024 06:30,28,0.124,12.7
21.10.2024 06:20,28,0.124,12.7
21.10.2024 06:10,28,0.124,12.7
21.10.2024 06:00,28,0.124,12.7
21.10.2024 05:00,28,0.124,12.7
21.10.2024 04:00,28,0.124,12.7
21.10.2024 03:00,28,0.124,12.8
21.10.2024 02:00,28,0.124,12.8
21.10.2024 01:00,28,0.124,12.8
21.10.2024 00:00,28,0.124,12.9
20.10.2024 23:00,28,0.124,13
20.10.2024 22:00,28,0.124,13
20.10.2024 21:00,28,0.124,13
20.10.2024 20:00,28,0.124,13.1
20.10.2024 19:00,28,0.124,13.1
20.10.2024 18:00,28,0.124,13.1
20.10.2024 17:00,28,0.124,13
20.10.2024 16:00,28,0.124,12.9
20.10.2024 15:00,28,0.124,12.9
20.10.2024 14:00,28,0.124,12.8
20.10.2024 13:00,28,0.124,12.8
20.10.2024 12:00,28,0.124,12.7
20.10.2024 11:00,28,0.124,12.7
20.10.2024 10:00,28,0.124,12.6
20.10.2024 09:00,28,0.124,12.5
20.10.2024 08:00,28,0.124,12.5
20.10.2024 07:00,28,0.124,12.6
