Datum a čas,Stav [cm],Průtok [m3s-1],Teplota [°C]
06.08.2024 07:10,34,0.247,22.5
06.08.2024 07:00,34,0.247,22.5
06.08.2024 06:50,34,0.247,22.5
06.08.2024 06:40,34,0.247,22.5
06.08.2024 06:30,34,0.247,22.6
06.08.2024 06:20,34,0.247,22.6
06.08.2024 06:10,34,0.247,22.6
06.08.2024 06:00,34,0.247,22.6
06.08.2024 05:00,34,0.247,22.6
06.08.2024 04:00,34,0.247,22.7
06.08.2024 03:00,33,0.223,22.7
06.08.2024 02:00,33,0.223,22.8
06.08.2024 01:00,33,0.223,22.8
06.08.2024 00:00,33,0.223,22.9
05.08.2024 23:00,32,0.2,22.9
05.08.2024 22:00,32,0.2,22.9
05.08.2024 21:00,32,0.2,23
05.08.2024 20:00,31,0.178,23
05.08.2024 19:00,31,0.178,23.1
05.08.2024 18:00,30,0.159,23.1
05.08.2024 17:00,30,0.159,23.1
05.08.2024 16:00,29,0.141,23
05.08.2024 15:00,29,0.141,22.9
05.08.2024 14:00,28,0.124,22.8
05.08.2024 13:00,27,0.109,22.6
05.08.2024 12:00,27,0.109,22.5
05.08.2024 11:00,27,0.109,22.5
05.08.2024 10:00,28,0.124,22.4
05.08.2024 09:00,28,0.124,22.4
05.08.2024 08:00,28,0.124,22.5
05.08.2024 07:00,29,0.141,22.5
