Datum a čas,Stav [cm],Průtok [m3s-1],Teplota [°C]
17.10.2024 07:00,37,0.331,12.6
17.10.2024 06:50,37,0.331,12.6
17.10.2024 06:40,37,0.331,12.6
17.10.2024 06:30,37,0.331,12.6
17.10.2024 06:20,37,0.331,12.6
17.10.2024 06:10,37,0.331,12.6
17.10.2024 06:00,36,0.301,12.6
17.10.2024 05:00,37,0.331,12.6
17.10.2024 04:00,37,0.331,12.6
17.10.2024 03:00,37,0.331,12.7
17.10.2024 02:00,37,0.331,12.7
17.10.2024 01:00,37,0.331,12.8
17.10.2024 00:00,37,0.331,12.8
16.10.2024 23:00,37,0.331,12.8
16.10.2024 22:00,37,0.331,12.9
16.10.2024 21:00,36,0.301,13
16.10.2024 20:00,36,0.301,13
16.10.2024 19:00,37,0.331,13
16.10.2024 18:00,37,0.331,13
16.10.2024 17:00,37,0.331,13
16.10.2024 16:00,37,0.331,13
16.10.2024 15:00,37,0.331,13
16.10.2024 14:00,38,0.362,13
16.10.2024 13:00,40,0.435,13
16.10.2024 12:00,37,0.331,12.9
16.10.2024 11:00,38,0.362,12.8
16.10.2024 10:00,39,0.396,12.7
16.10.2024 09:00,39,0.396,12.6
16.10.2024 08:00,39,0.396,12.6
16.10.2024 07:00,39,0.396,12.7
