Datum a čas,Stav [cm],Průtok [m3s-1],Teplota [°C]
14.10.2024 07:10,38,0.362,12.9
14.10.2024 07:00,38,0.362,12.9
14.10.2024 06:50,38,0.362,12.9
14.10.2024 06:40,38,0.362,12.9
14.10.2024 06:30,39,0.396,12.9
14.10.2024 06:20,38,0.362,12.9
14.10.2024 06:10,38,0.362,12.9
14.10.2024 06:00,39,0.396,12.9
14.10.2024 05:00,38,0.362,12.9
14.10.2024 04:00,38,0.362,12.9
14.10.2024 03:00,38,0.362,13
14.10.2024 02:00,38,0.362,13
14.10.2024 01:00,38,0.362,13
14.10.2024 00:00,38,0.362,13
13.10.2024 23:00,38,0.362,13
13.10.2024 22:00,38,0.362,13.1
13.10.2024 21:00,38,0.362,13.1
13.10.2024 20:00,38,0.362,13.2
13.10.2024 19:00,38,0.362,13.2
13.10.2024 18:00,39,0.396,13.1
13.10.2024 17:00,38,0.362,13.2
13.10.2024 16:00,39,0.396,13.3
13.10.2024 15:00,39,0.396,13.3
13.10.2024 14:00,39,0.396,13.4
13.10.2024 13:00,39,0.396,13.5
13.10.2024 12:00,39,0.396,13.5
13.10.2024 11:00,39,0.396,13.4
13.10.2024 10:00,39,0.396,13.4
13.10.2024 09:00,38,0.362,13.4
13.10.2024 08:00,39,0.396,13.4
13.10.2024 07:00,39,0.396,13.3
