Datum a čas,Stav [cm],Průtok [m3s-1],Teplota [°C]
09.10.2024 07:10,42,0.525,14.1
09.10.2024 07:00,42,0.525,14.1
09.10.2024 06:50,42,0.525,14.1
09.10.2024 06:40,42,0.525,14.1
09.10.2024 06:30,42,0.525,14.1
09.10.2024 06:20,42,0.525,14.1
09.10.2024 06:10,42,0.525,14.1
09.10.2024 06:00,42,0.525,14.1
09.10.2024 05:00,42,0.525,14.1
09.10.2024 04:00,42,0.525,14.2
09.10.2024 03:00,42,0.525,14.2
09.10.2024 02:00,42,0.525,14.2
09.10.2024 01:00,42,0.525,14.2
09.10.2024 00:00,42,0.525,14.2
08.10.2024 23:00,42,0.525,14.3
08.10.2024 22:00,42,0.525,14.4
08.10.2024 21:00,42,0.525,14.5
08.10.2024 20:00,42,0.525,14.6
08.10.2024 19:00,42,0.525,14.6
08.10.2024 18:00,42,0.525,14.6
08.10.2024 17:00,42,0.525,14.6
08.10.2024 16:00,42,0.525,14.5
08.10.2024 15:00,42,0.525,14.4
08.10.2024 14:00,42,0.525,14.3
08.10.2024 13:00,42,0.525,14
08.10.2024 12:00,42,0.525,13.9
08.10.2024 11:00,42,0.525,13.7
08.10.2024 10:00,42,0.525,13.7
08.10.2024 09:00,42,0.525,13.6
08.10.2024 08:00,42,0.525,13.6
08.10.2024 07:00,45,0.691,13.6
