Datum a čas,Stav [cm],Průtok [m3s-1],Teplota [°C]
07.08.2024 07:00,33,0.223,23.4
07.08.2024 06:50,33,0.223,23.5
07.08.2024 06:40,33,0.223,23.5
07.08.2024 06:30,33,0.223,23.5
07.08.2024 06:20,33,0.223,23.5
07.08.2024 06:10,33,0.223,23.5
07.08.2024 06:00,33,0.223,23.5
07.08.2024 05:00,33,0.223,23.6
07.08.2024 04:00,33,0.223,23.8
07.08.2024 03:00,33,0.223,23.9
07.08.2024 02:00,33,0.223,24
07.08.2024 01:00,33,0.223,24.1
07.08.2024 00:00,34,0.247,24.2
06.08.2024 23:00,34,0.247,24.3
06.08.2024 22:00,34,0.247,24.3
06.08.2024 21:00,34,0.247,24.4
06.08.2024 20:00,34,0.247,24.4
06.08.2024 19:00,34,0.247,24.3
06.08.2024 18:00,34,0.247,24.2
06.08.2024 17:00,34,0.247,24
06.08.2024 16:00,34,0.247,23.8
06.08.2024 15:00,34,0.247,23.5
06.08.2024 14:00,35,0.273,23.2
06.08.2024 13:00,34,0.247,23
06.08.2024 12:00,34,0.247,22.8
06.08.2024 11:00,34,0.247,22.6
06.08.2024 10:00,34,0.247,22.5
06.08.2024 09:00,34,0.247,22.5
06.08.2024 08:00,34,0.247,22.5
06.08.2024 07:00,34,0.247,22.5
