Datum a čas,Stav [cm],Průtok [m3s-1],Teplota [°C]
21.09.2024 07:10,54,1.27,15.9
21.09.2024 07:00,54,1.27,15.9
21.09.2024 06:50,54,1.27,15.9
21.09.2024 06:40,54,1.27,15.9
21.09.2024 06:30,54,1.27,15.9
21.09.2024 06:20,54,1.27,15.9
21.09.2024 06:10,54,1.27,15.9
21.09.2024 06:00,54,1.27,15.9
21.09.2024 05:00,55,1.34,16
21.09.2024 04:00,54,1.27,16.1
21.09.2024 03:00,55,1.34,16.1
21.09.2024 02:00,55,1.34,16.2
21.09.2024 01:00,55,1.34,16.2
21.09.2024 00:00,55,1.34,16.4
20.09.2024 23:00,56,1.41,16.6
20.09.2024 22:00,56,1.41,16.7
20.09.2024 21:00,56,1.41,16.9
20.09.2024 20:00,57,1.48,17
20.09.2024 19:00,57,1.48,17.1
20.09.2024 18:00,56,1.41,17.5
20.09.2024 17:00,57,1.48,17.4
20.09.2024 16:00,57,1.48,17.1
20.09.2024 15:00,57,1.48,17
20.09.2024 14:00,56,1.41,16.7
20.09.2024 13:00,59,1.62,16.2
20.09.2024 12:00,58,1.55,16.1
20.09.2024 11:00,57,1.48,16
20.09.2024 10:00,58,1.55,16
20.09.2024 09:00,59,1.62,16
20.09.2024 08:00,58,1.55,15.9
20.09.2024 07:00,60,1.69,16
